Shape,Ag(in^2),Ae(in^2),Yielding_ASD(kips),Yielding_LRFD(kips),Rupture_ASD(kips),Rupture_LRFD(kips)
W27x258,76.1,57.1,2280,3420,1860,2780
W30x261,77,57.8,2310,3470,1880,2820
W44x262,77.2,57.9,2310,3470,1880,2820
W36x262,77.2,57.9,2310,3470,1880,2820
W40x264,77.4,58.1,2320,3480,1890,2830
W33x263,77.4,58.1,2320,3480,1890,2830
W40x277,81.5,61.1,2440,3670,1990,2980
W24x279h,81.9,61.4,2450,3690,2000,2990
W12x279h,81.9,61.4,2450,3690,2000,2990
W40x278,82.3,61.7,2460,3700,2010,3010
W36x282,82.9,62.2,2480,3730,2020,3030
W27x281,83.1,62.3,2490,3740,2020,3040
W18x283h,83.3,62.5,2490,3750,2030,3050
W14x283h,83.3,62.5,2490,3750,2030,3050
W44x290,85.4,64.1,2560,3840,2080,3120
W33x291,85.6,64.2,2560,3850,2090,3130
W30x292,86,64.5,2570,3870,2100,3140
W40x294,86.2,64.7,2580,3880,2100,3150
W40x297,87.3,65.5,2610,3930,2130,3190
W36x302,89,66.8,2660,4010,2170,3260
W12x305h,89.5,67.1,2680,4030,2180,3270
W24x306h,89.7,67.3,2690,4040,2190,3280
W27x307h,90.2,67.7,2700,4060,2200,3300
W14x311h,91.4,68.6,2740,4110,2230,3340
W18x311h,91.6,68.7,2740,4120,2230,3350
W33x318,93.7,70.3,2810,4220,2280,3430
W40x324,95.3,71.5,2850,4290,2320,3490
W40x327h,95.9,71.9,2870,4320,2340,3510
W30x326h,95.9,71.9,2870,4320,2340,3510
W36x330,96.9,72.7,2900,4360,2360,3540
W40x331h,97.7,73.3,2930,4400,2380,3570
W24x335h,98.3,73.7,2940,4420,2400,3590
W44x335,98.5,73.9,2950,4430,2400,3600
W12x336h,98.9,74.2,2960,4450,2410,3620
W27x336h,99.2,74.4,2970,4460,2420,3630
W14x342h,101,75.8,3020,4550,2460,3700
W33x354h,104,78,3110,4680,2540,3800
W30x357h,105,78.8,3140,4730,2560,3840
W40x362h,106,79.5,3170,4770,2580,3880
W36x361h,106,79.5,3170,4770,2580,3880
W27x368h,109,81.8,3230,4910,2660,3990
W24x370h,109,81.8,3260,4910,2660,3990
W14x370h,109,81.8,3260,4910,2660,3990
W40x372h,110,82.5,3290,4950,2680,4020
W33x387h,114,85.5,3410,5130,2780,4170
W30x391h,115,86.3,3440,5180,2800,4210
W40x392h,116,87,3470,5220,2830,4240
W36x395h,116,87,3470,5220,2830,4240
W40x397h,117,87.8,3500,5270,2850,4280
W14x398h,117,87.8,3500,5270,2850,4280
W14x426h,125,93.8,3740,5630,3050,4570
W40x431h,127,95.3,3800,5720,3100,4650
W36x441h,130,97.5,3890,5850,3170,4750
W14x455h,134,101,4010,6030,3280,4920
W36x487h,143,107,4280,6440,3480,5220
W14x500h,147,110,4400,6620,3580,5360
W40x503h,148,111,4430,6660,3610,5410
W36x529h,156,117,4670,7020,3800,5700
W27x539h,159,119,4760,7160,3870,5800
W14x550h,162,122,4850,7290,3970,5950
W40x593h,174,131,5210,7830,4260,6390
W14x605h,178,134,5330,8010,4360,6530
W36x652h,192,144,5750,8640,4680,7020
W14x665h,196,147,5870,8820,4780,7170
W14x730h,215,161,6440,9680,5230,7850
